PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 15:30:22.488842
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 15:30:22.488842
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 15:30:22.488842
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 15:30:22.488842
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 15:30:22.488842
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 15:30:22.488842
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 15:30:22.488842
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 15:30:22.488842
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 16:30:15.211679
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 16:30:15.211679
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 16:30:15.211679
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 16:30:15.211679
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 16:30:15.211679
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 16:30:15.211679
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 16:30:15.211679
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 16:30:15.211679
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 16:30:15.211679
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 16:30:15.211679
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 16:30:15.211679
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 16:30:15.211679
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 16:30:15.211679
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 16:30:15.211679
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 16:30:15.211679
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 16:30:15.211679
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 16:30:15.211679
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 16:30:15.211679
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 16:30:15.211679
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 16:30:15.211679
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 16:30:15.211679
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 16:30:15.211679
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 16:30:15.211679
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 16:30:15.211679
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 16:30:15.211679
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 16:30:15.211679
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 16:30:15.211679
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 16:30:15.211679
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 16:30:15.211679
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 16:30:15.211679
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 16:30:15.211679
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 16:30:15.211679
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 16:30:15.211679
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 16:30:15.211679
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 16:30:15.211679
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 17:30:04.453333
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 17:30:04.453333
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 17:30:04.453333
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 17:30:04.453333
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 17:30:04.453333
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 17:30:04.453333
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 17:30:04.453333
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 17:30:04.453333
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 17:30:04.453333
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 17:30:04.453333
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 17:30:04.453333
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 17:30:04.453333
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 17:30:04.453333
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 17:30:04.453333
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 17:30:04.453333
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 17:30:04.453333
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 17:30:04.453333
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 17:30:04.453333
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 17:30:04.453333
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 17:30:04.453333
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 17:30:04.453333
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 17:30:04.453333
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 17:30:04.453333
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 17:30:04.453333
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 17:30:04.453333
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 17:30:04.453333
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 17:30:04.453333
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 17:30:04.453333
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 17:30:04.453333
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 17:30:04.453333
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 17:30:04.453333
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 17:30:04.453333
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 17:30:04.453333
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 17:30:04.453333
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 17:30:04.453333
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 18:30:23.043952
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 18:30:23.043952
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 18:30:23.043952
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 18:30:23.043952
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 18:30:23.043952
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 18:30:23.043952
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 18:30:23.043952
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 18:30:23.043952
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 18:30:23.043952
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 18:30:23.043952
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 18:30:23.043952
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 18:30:23.043952
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 18:30:23.043952
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 18:30:23.043952
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 18:30:23.043952
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 18:30:23.043952
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 18:30:23.043952
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 18:30:23.043952
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 18:30:23.043952
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 18:30:23.043952
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 18:30:23.043952
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 18:30:23.043952
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 18:30:23.043952
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 18:30:23.043952
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 18:30:23.043952
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 18:30:23.043952
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 18:30:23.043952
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 18:30:23.043952
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 18:30:23.043952
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 18:30:23.043952
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 18:30:23.043952
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 18:30:23.043952
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 18:30:23.043952
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 18:30:23.043952
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 18:30:23.043952
ACCIONA,193.200,1.74,3.30,14.93,194.700,188.800,100617,10598,14/04,2022-04-15 19:30:17.984928
ACERINOX,9.976,2.30,0.22,-12.38,10.015,9.714,1008302,2699,14/04,2022-04-15 19:30:17.984928
ACS,24.910,0.52,0.13,7.79,25.100,24.720,533878,7340,14/04,2022-04-15 19:30:17.984928
AENA,151.650,2.29,3.40,9.26,153.150,149.400,125423,22748,14/04,2022-04-15 19:30:17.984928
ALMIRALL,12.400,0.81,0.10,9.73,12.520,12.260,240950,2229,14/04,2022-04-15 19:30:17.984928
AMADEUS IT GROUP,56.880,0.64,0.36,-4.63,57.320,56.360,686913,25624,14/04,2022-04-15 19:30:17.984928
ARCELORMITTAL,30.510,2.83,0.84,7.52,30.550,29.930,483680,28613,14/04,2022-04-15 19:30:17.984928
BANCO SABADELL,0.731,-0.25,-0.00,28.38,0.744,0.730,21973836,4113,14/04,2022-04-15 19:30:17.984928
BANKINTER,5.278,1.93,0.10,18.39,5.304,5.204,2186491,4744,14/04,2022-04-15 19:30:17.984928
BBVA,5.034,1.63,0.08,0.28,5.073,4.936,17194476,33566,14/04,2022-04-15 19:30:17.984928
CAIXABANK,3.040,1.57,0.05,32.08,3.073,3.003,13611297,24504,14/04,2022-04-15 19:30:17.984928
CELLNEX TELECOM,44.950,-0.18,-0.08,-12.17,45.420,44.690,1024166,30536,14/04,2022-04-15 19:30:17.984928
CIE AUTOMOTIVE,19.920,-0.15,-0.03,-26.22,20.080,19.820,206315,2441,14/04,2022-04-15 19:30:17.984928
COLONIAL,8.330,0.30,0.02,0.97,8.385,8.280,632198,4495,14/04,2022-04-15 19:30:17.984928
ENAGAS,21.160,1.73,0.36,3.73,21.330,20.720,1221130,5544,14/04,2022-04-15 19:30:17.984928
ENDESA,19.615,0.90,0.17,-2.90,19.735,19.250,859571,20767,14/04,2022-04-15 19:30:17.984928
FERROVIAL,25.740,1.26,0.32,-6.60,25.900,25.420,824354,18883,14/04,2022-04-15 19:30:17.984928
FLUIDRA,25.240,0.48,0.12,-28.30,25.540,25.120,239998,4938,14/04,2022-04-15 19:30:17.984928
GRIFOLS,15.575,2.98,0.45,-7.70,15.770,15.165,1067505,6637,14/04,2022-04-15 19:30:17.984928
IAG,1.758,3.99,0.07,3.14,1.772,1.702,26124740,8737,14/04,2022-04-15 19:30:17.984928
IBERDROLA,10.505,1.11,0.11,2.61,10.570,10.290,10388874,67627,14/04,2022-04-15 19:30:17.984928
INDITEX,20.540,1.38,0.28,-28.01,20.670,20.280,3401612,64016,14/04,2022-04-15 19:30:17.984928
INDRA,9.190,1.49,0.13,-3.47,9.285,9.090,449027,1623,14/04,2022-04-15 19:30:17.984928
MAPFRE,1.884,0.80,0.01,4.35,1.897,1.853,3062240,5802,14/04,2022-04-15 19:30:17.984928
MELIÁ HOTELS,6.875,4.64,0.30,14.55,6.895,6.575,967905,1515,14/04,2022-04-15 19:30:17.984928
MERLIN PROP,10.830,0.74,0.08,13.17,10.910,10.660,614295,5088,14/04,2022-04-15 19:30:17.984928
NATURGY,29.560,0.99,0.29,5.41,29.840,29.220,349759,28662,14/04,2022-04-15 19:30:17.984928
PHARMA MAR,76.420,-0.31,-0.24,34.02,77.340,76.300,51287,1403,14/04,2022-04-15 19:30:17.984928
RED ELÉCTRICA,19.420,1.30,0.25,3.56,19.515,19.040,1157783,10508,14/04,2022-04-15 19:30:17.984928
REPSOL,13.770,1.74,0.24,35.60,13.815,13.535,5117229,21590,14/04,2022-04-15 19:30:17.984928
ROVI,66.600,0.38,0.25,-9.76,67.400,66.050,81716,3734,14/04,2022-04-15 19:30:17.984928
SANTANDER,3.152,0.93,0.03,7.21,3.185,3.129,34478960,54666,14/04,2022-04-15 19:30:17.984928
SIEMENS GAMESA,14.905,-1.52,-0.23,-29.26,15.165,14.905,1326539,10152,14/04,2022-04-15 19:30:17.984928
SOLARIA,21.830,0.97,0.21,27.51,22.150,21.430,461283,2728,14/04,2022-04-15 19:30:17.984928
TELEFÓNICA,4.996,1.17,0.06,29.70,5.000,4.892,20321886,28872,14/04,2022-04-15 19:30:17.984928
